         3856991 function calls (3800170 primitive calls) in 8.240 seconds

   Ordered by: cumulative time
   List reduced from 2851 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    71923    0.011    0.000    5.972    0.000 {built-in method builtins.next}
     1046    0.001    0.000    5.957    0.006 /opt/homebrew/Cellar/python@3.13/3.13.7/Frameworks/Python.framework/Versions/3.13/lib/python3.13/contextlib.py:145(__exit__)
        2    0.000    0.000    5.956    2.978 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/profiler.py:241(trace)
        1    2.511    2.511    5.955    5.955 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/profiler.py:208(stop_trace)
        1    0.000    0.000    3.444    3.444 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/profiler.py:150(_write_perfetto_trace_file)
        1    0.000    0.000    2.295    2.295 /Users/rogerio/local/jax_drb/scripts/profile_recycling_jax_linearized_gate.py:84(_profile_once)
    12/11    0.001    0.000    2.283    0.208 {method 'write' of '_io.BufferedWriter' objects}
        1    0.000    0.000    2.282    2.282 /opt/homebrew/Cellar/python@3.13/3.13.7/Frameworks/Python.framework/Versions/3.13/lib/python3.13/gzip.py:307(write)
        1    0.000    0.000    2.282    2.282 /opt/homebrew/Cellar/python@3.13/3.13.7/Frameworks/Python.framework/Versions/3.13/lib/python3.13/gzip.py:134(write)
        1    0.000    0.000    2.282    2.282 /opt/homebrew/Cellar/python@3.13/3.13.7/Frameworks/Python.framework/Versions/3.13/lib/python3.13/gzip.py:318(_write_raw)
        1    2.279    2.279    2.279    2.279 {method 'compress' of 'zlib.Compress' objects}
 1047/119    0.003    0.000    2.119    0.018 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/profiler.py:351(wrapper)
        1    0.004    0.004    2.064    2.064 /Users/rogerio/local/jax_drb/src/jax_drb/native/recycling_1d.py:2439(advance_recycling_1d_backward_euler_step)
   531/39    0.001    0.000    2.036    0.052 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/linear_util.py:209(call_wrapped)
        1    0.000    0.000    2.035    2.035 /Users/rogerio/local/jax_drb/src/jax_drb/solver/implicit.py:629(solve_jax_linearized_newton_system)
        1    0.000    0.000    2.026    2.026 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/api.py:1934(linearize)
        1    0.000    0.000    2.026    2.026 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/interpreters/ad.py:262(linearize)
        1    0.000    0.000    2.026    2.026 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/interpreters/partial_eval.py:603(trace_to_jaxpr_nounits)
        1    0.001    0.001    2.026    2.026 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/interpreters/partial_eval.py:620(trace_to_subjaxpr_nounits)
    126/1    0.001    0.000    2.025    2.025 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/interpreters/partial_eval.py:652(_trace_to_subjaxpr_nounits)
   176/39    0.000    0.000    1.989    0.051 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/api_util.py:69(flatten_fun)
   182/39    0.001    0.000    1.989    0.051 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/linear_util.py:394(_get_result_paths_thunk)
    100/1    0.001    0.000    1.979    1.979 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/interpreters/ad.py:72(jvpfun)
    100/1    0.001    0.000    1.979    1.979 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/interpreters/ad.py:129(jvp_subtrace)
        1    0.000    0.000    1.979    1.979 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/api_util.py:86(flatten_fun_nokwargs)
