         9511984 function calls (9362537 primitive calls) in 14.976 seconds

   Ordered by: cumulative time
   List reduced from 2877 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   190790    0.028    0.000   10.093    0.000 {built-in method builtins.next}
     1152    0.001    0.000   10.055    0.009 /opt/homebrew/Cellar/python@3.13/3.13.7/Frameworks/Python.framework/Versions/3.13/lib/python3.13/contextlib.py:145(__exit__)
        2    0.000    0.000   10.055    5.027 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/profiler.py:241(trace)
        1    6.162    6.162   10.053   10.053 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/profiler.py:208(stop_trace)
        1    0.000    0.000    4.952    4.952 /Users/rogerio/local/jax_drb/scripts/profile_recycling_jax_linearized_gate.py:91(_profile_once)
 1188/123    0.003    0.000    4.774    0.039 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/profiler.py:351(wrapper)
        1    0.011    0.011    4.743    4.743 /Users/rogerio/local/jax_drb/src/jax_drb/native/recycling_1d.py:2462(advance_recycling_1d_backward_euler_step)
        1    0.000    0.000    4.707    4.707 /Users/rogerio/local/jax_drb/src/jax_drb/solver/implicit.py:629(solve_jax_linearized_newton_system)
   560/39    0.001    0.000    4.686    0.120 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/linear_util.py:209(call_wrapped)
        1    0.000    0.000    4.677    4.677 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/api.py:1934(linearize)
        1    0.000    0.000    4.677    4.677 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/interpreters/ad.py:262(linearize)
        1    0.000    0.000    4.677    4.677 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/interpreters/partial_eval.py:603(trace_to_jaxpr_nounits)
        1    0.003    0.003    4.677    4.677 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/interpreters/partial_eval.py:620(trace_to_subjaxpr_nounits)
    131/1    0.002    0.000    4.674    4.674 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/interpreters/partial_eval.py:652(_trace_to_subjaxpr_nounits)
   192/39    0.000    0.000    4.551    0.117 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/api_util.py:69(flatten_fun)
   198/39    0.001    0.000    4.551    0.117 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/linear_util.py:394(_get_result_paths_thunk)
    103/1    0.001    0.000    4.542    4.542 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/interpreters/ad.py:72(jvpfun)
    103/1    0.001    0.000    4.542    4.542 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/interpreters/ad.py:129(jvp_subtrace)
        1    0.000    0.000    4.542    4.542 /Users/rogerio/base_env/lib/python3.13/site-packages/jax/_src/api_util.py:86(flatten_fun_nokwargs)
        1    0.000    0.000    4.542    4.542 /Users/rogerio/local/jax_drb/src/jax_drb/native/recycling_1d.py:2547(residual)
