         211183339 function calls (211159593 primitive calls) in 73.946 seconds

   Ordered by: cumulative time
   List reduced from 3791 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   74.333   74.333 scripts/profile_curated_case.py:122(execute_case)
        1    0.000    0.000   74.333   74.333 src/jax_drb/native/runner.py:146(run_curated_case)
        1    0.000    0.000   74.326   74.326 src/jax_drb/native/runner.py:1552(run_config_case)
        1    0.000    0.000   74.258   74.258 src/jax_drb/native/runner.py:1661(_execute_supported_case)
        1    0.000    0.000   74.258   74.258 src/jax_drb/native/runner.py:1875(_execute_recycling_1d_case)
        1    0.000    0.000   74.258   74.258 src/jax_drb/native/recycling_1d.py:1534(advance_recycling_1d_implicit_history)
        1    0.000    0.000   74.228   74.228 src/jax_drb/native/recycling_1d.py:2690(_advance_recycling_1d_bdf_history)
        1    0.003    0.003   73.861   73.861 <site-packages>/scipy/integrate/_ivp/ivp.py:160(solve_ivp)
     1195    0.004    0.000   73.238    0.061 <site-packages>/scipy/integrate/_ivp/base.py:179(step)
     1195    0.036    0.000   73.234    0.061 <site-packages>/scipy/integrate/_ivp/bdf.py:309(_step_impl)
    11838    0.021    0.000   71.682    0.006 src/jax_drb/native/recycling_1d.py:2780(_evaluate_rhs)
    11838    0.026    0.000   70.995    0.006 src/jax_drb/native/recycling_fixed_residual.py:149(rhs)
    11838    0.170    0.000   70.285    0.006 src/jax_drb/native/recycling_1d.py:2755(packed_rhs)
    11838    0.312    0.000   69.927    0.006 src/jax_drb/native/recycling_1d.py:2922(_compute_recycling_1d_packed_rhs)
    11838    0.661    0.000   67.855    0.006 src/jax_drb/native/recycling_1d.py:243(_compute_recycling_1d_rhs_from_species)
       86    0.001    0.000   51.748    0.602 src/jax_drb/native/recycling_1d.py:2805(jacobian)
       86    0.011    0.000   51.212    0.595 src/jax_drb/solver/implicit.py:174(build_sparse_difference_quotient_jacobian)
       85    0.000    0.000   51.171    0.602 <site-packages>/scipy/integrate/_ivp/bdf.py:283(jac_wrapped)
     8514    0.006    0.000   51.128    0.006 src/jax_drb/solver/implicit.py:227(<genexpr>)
     8428    0.185    0.000   51.122    0.006 src/jax_drb/solver/implicit.py:209(_evaluate_group)
     8428    0.006    0.000   50.928    0.006 src/jax_drb/native/recycling_1d.py:2810(<lambda>)
     3495    0.010    0.000   20.783    0.006 src/jax_drb/native/recycling_1d.py:2786(rhs)
     1450    0.027    0.000   20.487    0.014 <site-packages>/scipy/integrate/_ivp/bdf.py:36(solve_bdf_system)
     3409    0.002    0.000   20.252    0.006 <site-packages>/scipy/integrate/_ivp/base.py:156(fun)
     3409    0.002    0.000   20.251    0.006 <site-packages>/scipy/integrate/_ivp/base.py:23(fun_wrapped)
  4498459    0.831    0.000   11.907    0.000 src/jax_drb/native/array_backend.py:24(use_jax_backend)
  5721143    1.574    0.000   11.824    0.000 {built-in method builtins.any}
    11838    2.136    0.000   10.545    0.001 src/jax_drb/native/recycling_collision_closure.py:257(apply_collision_closure)
    11838    0.012    0.000   10.262    0.001 src/jax_drb/native/recycling_reactions.py:783(reaction_sources)
    11838    0.185    0.000   10.161    0.001 src/jax_drb/native/recycling_reactions.py:889(_fixed_layout_dthe_reaction_terms)
